"esfera";"poder";"orgao";"protocolo";"assunto";"outros";"atendimento";"nao_e_pedido_de_informacao";"contem_dados_pessoais";"pedido";"pedido_pasta_do_anexo_pedido";"anexo_com_extensao_pedido";"resposta";"pasta_do_anexo_resposta";"anexo_com_extensao_resposta";"data_recurso_1";"recurso_1";"pasta_do_anexo_recurso_1";"anexo_com_extensao_recurso_1";"data_resposta_recurso_1";"resposta_recurso_1";"pasta_do_anexo_resposta_recurso_1";"anexo_com_extensao_resposta_recurso_1";"data_recurso_2";"recurso_2";"pasta_do_anexo_recurso_2";"anexo_com_extensao_recurso_2";"data_resposta_recurso_2";"resposta_recurso_2";"responsavel"
"federal";"tribunal de contas";"tribunal de contas da uniao";"276057";;;;;;"Solicito certidão de Nada Consta da empresa citada para fins licitação.";;;"Prezada Senhora [][][][][][], Escrevemos em atenção à demanda nº 276057, enviada por V.Sª à Ouvidoria do Tribunal de Contas da União (TCU), para encaminhar-lhe anexo a certidão solicitada. Informamos, contudo, que não há necessidade de apresentação de Certidão de Nada Consta para receber faturas, emissão de empenhos, ou participação em licitações ou pregões. O que os órgãos públicos devem verificar é se a empresa está na Lista de Licitantes Inidôneos publicada pelo Tribunal de Contas da União - TCU, que não se confunde com Certidão de Nada Consta. A lista de licitantes inidôneos poderá ser acessada em www.tcu.gov.br => Serviços e consultas => Certidões => Lista de licitantes inidôneos. A relação obtida por esse canal contém os nomes de todos os inidôneos para participarem de licitações realizadas pela Administração Pública Federal, nos termos do art. 46 da Lei nº 8.443/92 (Lei Orgânica do TCU - LOTCU). Essa norma dispõe o seguinte: \"Art. 46. Verificada a ocorrência de fraude comprovada à licitação, o Tribunal declarará a inidoneidade do licitante fraudador para participar, por até cinco anos, de licitação na Administração Pública Federal.\" Esclarecemos, por fim, que o fato de a certidão não ser emitida diretamente no Portal do TCU não indica situação irregular, pois o Portal, por medida de segurança, não emite a certidão quando uma pessoa física ou jurídica conste como responsável em processo, mesmo que não haja condenação alguma por parte do TCU. Atenciosamente, Ouvidoria do TCU";;;;;;;;;;;;;;;;;"Ana"
"federal";"tribunal de contas";"tribunal de contas da uniao";"276455";;;;;;"Boa tarde, gostaria de ter acesso aos despachos relacionados às obras da Subida da Serra, na BR 040, executadas pela Concer. Obrigada.";;;"Prezada Senhora [][][][][][], Inicialmente, pedimos as devidas vênias pela detença no oferecimento da resposta. Transmitimos abaixo a mensagem enviada em resposta, por nossa Unidade Técnica. \"A Comissão Mista de Orçamentos já disponibilizou, em seu site, todas as informações relativas ao processo TC 023.204/2015-0, solicitado pela jornalista, inclusive o despacho do Ministro Walton. ( . . . ) , já houve inclusive a publicação sobre o assunto em outro veículo de comunicação. ( . . . ) sugere-se cientificar a jornalista de que a publicidade anterior provavelmente baseou-se nas informações do referido site e, sobretudo, de que ainda não houve manifestação conclusiva a respeito do mérito tratado no processo, por parte do TCU. Link onde poderá obter a informação: http://www.senado.leg.br/atividade/rotinas/materia/getPDF.asp?t=199771&tp=1 http://www25.senado.leg.br/web/atividade/materias/-/materia/126908http://www25.senado.leg.br/web/atividade/materias/-/materia/126908\" Agradecendo a participação, colocamo-nos à disposição. Atenciosamente, Ouvidoria do TCU";;;;;;;;;;;;;;;;;"Ana"
"federal";"tribunal de contas";"tribunal de contas da uniao";"276478";;;;;;"Solicitei a certidão de nada consta da empresa SCOVAN SERVIÇOS GERAIS EIRELI, CNPJ n° 83.353.912/0001-74 e o sistema do TCU informou o seguinte: \"Certidão de nada consta As informações disponíveis sobre o CNPJ 83.353.912/0001-74 não permitem a emissão de Certidão nada consta via internet. Solicte informações à Ouvidoria do Tribunal de Contas da União para esclarecimento de pendências e/ou obtenção da certidão pretendida. \" Qual a razão disso. Aguardamos retorno com maior brevidade possível. Att,";;;"Prezado Senhor [][][][][][], Escrevemos em atenção à demanda nº 276478, enviada por V.Sª à Ouvidoria do Tribunal de Contas da União (TCU). Esclarecemos ao seu questionamento que quando a Pessoa Física ou Jurídica tem algum processo neste Tribunal como responsável ou interessada a certidão, por questão de cautela e zelo procedimental, não pode ser emitida automaticamente pelo Portal. No caso em comento ao se pesquisar nos sistemas eletrônicos do TCU o CNPJ 83.353.912/0001-74, verifica-se a existência do TC-005.198/2013-5, Administrativo, fechamento contábil patrimonial. Por isso, a certidão não pode ser emitida automaticamente pelo Portal. Esclarecemos ainda que para participar de licitação, contratar com a administração pública ou empenhar despesas pública não precisa solicitar certidão ao TCU. Basta, para tanto, pesquisar na página do TCU, link abaixo, a lista de empresas inidôneas impedidas de licitarem com a administração pública. http://portal.tcu.gov.br/responsabilizacao-publica/licitantes-inidoneas/ Agradecemos o contato. Bsb, 20/09/2016. Atenciosamente, Ouvidoria do TCU";;;;;;;;;;;;;;;;;"Ana"
"federal";"tribunal de contas";"tribunal de contas da uniao";"276536";;;;;;"Certidão de Nada Consta Conteúdo adicionado em 15/09/2016 - 05:06:57 - por X[][][].[][][].[][][]-[][] - Solicito urgência na emissão, pois é uma solicitação para atender exigência do DENATRAN para ofício de concessão de licença. 24.293.572.0001/74 ¿ Inspeservice Serviço de Inspeção Veicular Ltda.";;;"Prezado Senhor [][][][][][], Escrevemos em atenção à demanda nº 276536, enviada à Ouvidoria do Tribunal de Contas da União (TCU). Reenviamos a certidão anexa, anteriormente encaminhada pelo Assessor desta Ouvidoria. Atenciosamente, Ouvidoria do TCU";;;;;;;;;;;;;;;;;"Ana"
"federal";"tribunal de contas";"tribunal de contas da uniao";"276612";;;;;;"Solicito cópia dos processos: TC: [][][].[][][].[][][]-[][] TC: [][][].[][][].[][][]-[][]";;;"Prezado Senhor [][][][][][], Relativamente ao contato de vossa Senhoria, queira por gentileza verificar novamente o link para fazer a cópia dos processos utilizando o e-mail antonio.leitao@trf1.jus.br. Continuamos à disposição no numero 33165292, ou [][][].[][][].[][][]-[][], opção 1. Atenciosamente, Ouvidoria do TCU";;;;;;;;;;;;;;;;;"Ana"
"federal";"tribunal de contas";"tribunal de contas da uniao";"277683";;;;;;"Srs, boa Tarde. Solicito possibilidade de emissão de Certidão de nada consta para o CNPJ 13.338.681/0001-44. 1. Exposição dos fatos: - Não foi possível a obtenção da Certidão de nada consta pelo endereço http://portal.tcu.gov.br/certidoes/certidoes.htm - A empresa COMERCIAL SPONCHIADO LTDA, titular do CNPJ 13.338.681/0001-44, é licitante do Pregão Eletrônico para SRP nº 07-2016, NUP 64082.004304/2016-31, que está sendo realizado pelo 5º Batalhão de Infantaria Leve, Exército Brasileiro. - Foi consultada a relação de inidôneos do TCU e impressas as informações de que \" dados não foram encontrados\" para o CNPJ e nome da empresa. - O item do pregão encontra-se em HABILITAÇÃO. 2. Identificação do requerente: Seção de Licitações, Aquisições e Contratos - 5º BIL - UASG 160472 - CÉSAR DE MIRANDA BRITO - CPF [][][].[][][].[][][]-[][] - RG 018.655.373-1 (MD) - Função: pregoeiro Tel (12) 3157-6732 att, César de Miranda Brito - 2º Ten Adj SALC/5º BIL";;;"Prezado Senhor [][][][][][], Escrevemos em atenção à demanda nº 277683, enviada por V.Sª à Ouvidoria do Tribunal de Contas da União (TCU). Segue, anexada a esta mensagem, a certidão requerida. Atenciosamente, Ouvidoria do TCU";;;;;;;;;;;;;;;;;"Ana"
"federal";"tribunal de contas";"tribunal de contas da uniao";"279269";;;;;;"Solicito cópia da Decisão (acordum) sobre o processo TC nº 003.545/2012-1 do qual sou interessado direto.";;;"Prezado Senhor [][][][][][], Escrevemos em atenção à demanda nº 279269, enviada por V.Sª à Ouvidoria do Tribunal de Contas da União (TCU). Seguem, anexadas a esta mensagem, cópia das peças solicitadas. Atenciosamente, Ouvidoria do TCU";;;;;;;;;;;;;;;;;"Ana"
"federal";"tribunal de contas";"tribunal de contas da uniao";"279215";;;;;;"Olá, boa tarde. Tendo em vista a necessidade de instruir processo tendente à prorrogação de contrato firmado entre a Superintendência Regional da Polícia Rodoviária Federal em Santa Catarina e a empresa SEGURANÇA VEICULAR PARANÁ LTDA - EPP - CNPJ 06.277.258/0001-16, solicito o encaminhamento da certidão de nada consta da referida empresa junto ao TCU tendo em vista não ter logrado êxito em obter tal informação diretamente pelo site. Desde já agradeço a atenção dispensada. Atenciosamente, LEANDRO ANDRADE DO NASCIMENTO Chefe da Seção Administrativa e Financeira SRPRF/SC";;;"Prezado Senhor [][][][][][], Escrevemos em atenção à demanda nº 279215, enviada à Ouvidoria do Tribunal de Contas da União (TCU). Informamos que Vossa Senhoria, poderá emitir uma certidão de nada consta para a empresa de seu interesse, bastando para tanto, seguir o link colado abaixo. Não obstante, a título de exemplo emitimos a certidão que segue anexa. http://portal.tcu.gov.br/certidoes/ Atenciosamente, Ouvidoria do TCU";;;;;;;;;;;;;;;;;"Ana"
"federal";"tribunal de contas";"tribunal de contas da uniao";"281102";;;;;;"Bom dia, como não consegui emitir pelo site, solicito a emissão de Certidão de verificação de irregularidades- TCU para a seguinte empresa: NOME: CARBA INDÚSTRIA DE ALIMENTOS LTDA - EPP CNPJ: 77.139.145/0001-00 REPRESENTANTE: CARLOS JOSÉ BARANCELLI, sócio administrador, CPF [][][].[][][].[][][]-[][] SOLICITANTE DA CERTIDÃO: Jocemar Peroni CPF [][][].[][][].[][][]-[][] Aguardo.";;;"Prezado Senhor [][][][][][], Escrevemos em atenção à demanda nº 281102, enviada por V.Sª à Ouvidoria do Tribunal de Contas da União (TCU). Segue, no arquivo anexo, a certidão solicitada por Vossa Senhoria. Registramos que não há necessidade de apresentação de Certidão de Nada Consta para receber faturas, emissão de empenhos, ou participação em licitações ou pregões. Qualquer pessoa pode emitir automaticamente uma certidão negativa, de inabilitado ou de inidôneo, diretamente no portal do Tribunal de Contas da União (TCU). Basta utilizar a nova funcionalidade da \"Lista de Inabilitados e Inidôneos\", no Portal do TCU. Os órgãos públicos devem verificar se a empresa consta da Lista de Licitantes Inidôneos publicada pelo Tribunal de Contas da União - TCU, que não se confunde com Certidão de Nada Consta. A lista de licitantes inidôneos poderá ser acessada em www.tcu.gov.br => Serviços e consultas => Certidões => Lista de licitantes inidôneos ou pelo link: https://contas.tcu.gov.br/pls/apex/f?p=2046:5 Na mesma página, parte superior, poderá ser emitida esta certidão, assim como verificada sua validade. A relação obtida por esse canal contém os nomes de todos os inidôneos para participarem de licitações realizadas pela Administração Pública Federal, nos termos do art. 46 da Lei nº 8.443/92 (Lei Orgânica do TCU - LOTCU). Essa norma dispõe o seguinte: \"Art. 46. Verificada a ocorrência de fraude comprovada à licitação, o Tribunal declarará a inidoneidade do licitante fraudador para participar, por até cinco anos, de licitação na Administração Pública Federal.\" Esclarecemos, por fim, que o fato de a certidão não ser emitida diretamente no Portal do TCU não indica situação irregular, pois o Portal, por medida de segurança, não emite a certidão quando uma pessoa física ou jurídica conste como responsável ou interessado em processo, mesmo que não haja condenação alguma por parte do TCU. Atenciosamente, Ouvidoria do TCU";;;;;;;;;;;;;;;;;"Ana"
"federal";"tribunal de contas";"tribunal de contas da uniao";"279568";;;;;;"ACOMPANHAMENTO DE REGULARIDADE FISCAL.";;;"Prezado Senhor [][][][][][], Escrevemos em atenção à demanda nº 279568, enviada por V.Sª à Ouvidoria do Tribunal de Contas da União (TCU). Segue anexo a solicitada certidão. Informamos que não há necessidade de apresentação de Certidão de Nada Consta para receber faturas, emissão de empenhos, ou participação em licitações ou pregões. O que os órgãos públicos devem verificar é se a empresa está na Lista de Licitantes Inidôneos publicada pelo Tribunal de Contas da União - TCU, que não se confunde com Certidão de Nada Consta. Ver o edital padrão elaborado pela CJU em anexo, item 8.1. A lista de licitantes inidôneos poderá ser acessada em www.tcu.gov.br => Serviços e consultas => Certidões => Lista de licitantes inidôneos. A relação obtida por esse canal contém os nomes de todos os inidôneos para participarem de licitações realizadas pela Administração Pública Federal, nos termos do art. 46 da Lei nº 8.443/92 (Lei Orgânica do TCU - LOTCU). Essa norma dispõe o seguinte: \"\"Art. 46. Verificada a ocorrência de fraude comprovada à licitação, o Tribunal declarará a inidoneidade do licitante fraudador para participar, por até cinco anos, de licitação na Administração Pública Federal.\"\" Esclarecemos, por fim, que o fato de a certidão não ser emitida diretamente no Portal do TCU não indica situação irregular, pois o Portal, por medida de segurança, não emite a certidão quando uma pessoa física ou jurídica conste como responsável em processo, mesmo que não haja condenação alguma por parte do TCU. Agradecemos o contato. Bsb, 28/11/2016 Atenciosamente, Ouvidoria do TCU";;;;;;;;;;;;;;;;;"Ana"
"federal";"tribunal de contas";"tribunal de contas da uniao";"278647";;;;;;"Certidão de Nada consta CLARO S.A [][][].[][][].[][][]-[][]7";;;"Prezado Senhor [][][][][][], Escrevemos em atenção à demanda nº 278647, enviada por V.Sª à Ouvidoria do Tribunal de Contas da União (TCU). Segue anexo a solicitada certidão. Agradecemos o contato. Bsb, 04/11/2016. Atenciosamente, Ouvidoria do TCU";;;;;;;;;;;;;;;;;"Ana"
"federal";"tribunal de contas";"tribunal de contas da uniao";"280632";;;;;;"Gostaria de solicitar cópia do processo de Dispensa de Licitação de valor - número 003.442.2016-0.";;;"Prezada Senhora [][][][][][], Escrevemos em atenção à demanda nº 280632, enviada por V.Sª à Ouvidoria do Tribunal de Contas da União (TCU). Conforme solicitado, encaminhamos link para download das peças do TC 003.442/2016-0. Vossa Senhoria deverá clicar em www.tcu.gov.br/onedrive, selecionar a opção \"autenticação de formulários\", entrar com o nome de usuário, que é o seu e-mail: crislcampos@yahoo.com.br e com a senha criada para acesso: AA007623780. Já logada no Onedrive será necessário colar a seguinte linha no campo de endereço do browser para ter acesso às peças do processo: https://acesso1.tcu.gov.br/pessoal/robertats/Documents/Forms/All.aspx?RootFolder=%2Fpessoal%2Frobertats%2FDocuments%2FTC%2[][][].[][][].[][][]-[][]6%200&FolderCTID=0x012000BBE9[][][].[][][].[][][]-[][]6C09082A9DD1EA7&View=%7B2623AFDB%2DB954%2D4C7F%2DA99E%2DD1F98822EBDE%7D A partir daí é só fazer o download. Por gentileza, informe caso não tenha conseguido baixar os arquivos. A cópia ficará disponível por cinco dias corridos a partir do envio desta mensagem. Qualquer dúvida, por gentileza entrar em contato com a Ouvidoria, no telefone (61) 3316-5347. Atenciosamente, Ouvidoria do TCU";;;;;;;;;;;;;;;;;"Ana"
"federal";"tribunal de contas";"tribunal de contas da uniao";"279389";;;;;;"Solicitação de cópia integral do Processo: 009.594/2012-4, Tipo do processo: RA - RELATÓRIO DE AUDITORIA, Assunto do processo: CONSTRUÇÃO DA FERROVIA NORTE-SUL - OUROESTE-ESTRELA D'OESTE/SP - LOTE 5, Estado: ENCERRADO, Relator atual: MIN-ASC - AUGUSTO SHERMAN CAVALCANTI, Recursos: R001 - Embargos de declaração - Relator AUGUSTO SHERMAN, Unidade responsável técnica: SeinfraHid, Unidade responsável por agir (Localização): SeinfraHid, Confidencialidade: Restrito, Unidade jurisdicionada: Valec - VALEC Engenharia, Construções e Ferrovias S.A, Responsáveis: Jorge Antônio Mesquita Pereira de Almeida, Luiz Carlos Oliveira Machado";;;"Prezado Senhor [][][][][][], Escrevemos em atenção à demanda nº 279389, enviada por V.Sª à Ouvidoria do Tribunal de Contas da União (TCU). Conforme solicitação de cópia de processo, foram encaminhados a V.Sª os links para fazer o download das peças não sigilosas dos processos solicitados. Vossa Senhoria deverá clicar no link encaminhado, selecionar a opção \"autenticação de formulários\", entrar com o nome de usuário, que é o seu e-mail: eduardo.lamonato@tiisa.com.br e a senha, que é AA322737718 Após fazer o login no Onedrive será necessário colar o seguinte link no campo de endereço do browser para ter acesso às peças de cada processo. https://acesso1.tcu.gov.br/pessoal/solangemr/Documents/Forms/All.aspx?RootFolder=%2Fpessoal%2Fsolangemr%2FDocuments%2FTC%20009%2E594_12_4&FolderCTID=0x012000F1DF590724C1A6429F0427F31AA27A3D&View=%7B17D7AD04-A555-492D-B95D-E22151036C9F%7D#InplviewHash17d7ad04-a555-492d-b95d-e22151036c9f=Paged%3DTRUE-PagedPrev%3DTRUE-p_SortBehavior%3D0-p_FileLeafRef%3D181%252dTC%255f009594%255f2012%255f4%[][][].[][][].[][][]-[][]%252dCi%25c3%25aancia%2520de%2520comunica%25c3%25a7%25c3%25a3o%252epdf-p_ID%3D3232-RootFolder%3D%252fpessoal%252fsolangemr%252fDocuments%252fTC%2520009%252e594%255f12%255f4-PageFirstRow%3D151 A partir daí é só fazer o download das peças. A cópia ficará disponível por cinco dias corridos a partir do envio desta mensagem. Qualquer dúvida, entrar em contato com a Ouvidoria, no telefone (61) 3316-5292/5347. Atenciosamente, Ouvidoria do TCU";;;;;;;;;;;;;;;;;"Ana"
"federal";"tribunal de contas";"tribunal de contas da uniao";"280081";;;;;;"Solicito cópia integral do TC 018.322/2008-0.";;;"Prezada Senhora [][][][][][], Escrevemos em atenção à demanda nº 280081, enviada por V.Sª à Ouvidoria do Tribunal de Contas da União (TCU). Segue cópia do Acórdão nº 4553/2010 - TCU - 2ª Câmara, quando foram julgadas as contas de responsáveis regulares e dar-lhes quitação plena, promovendo-se, em seguida, o arquivamento do processo, de acordo com os pareceres emitidos nos autos. Atenciosamente, Ouvidoria do TCU";;;;;;;;;;;;;;;;;"Ana"
"federal";"tribunal de contas";"tribunal de contas da uniao";"279130";;;;;;"Cópia dos processos 028.501/2008-4 010.905/2001-8 As cópias se fazem necessárias para justificar o pedido de impugnação de candidatura ao cargo de Diretor Geral do Instituto Federal de Mato Grosso campus Barra do Garças, a documentação será apresentada a comissão eleitoral.";;;"Prezado Senhor [][][][][][], Escrevemos em atenção à demanda nº 279130, enviada por V.Sª à Ouvidoria do Tribunal de Contas da União (TCU). Conforme solicitação de cópia de processo, estamos encaminhando a V.Sa. link para fazer o download das peças do TC-028.501/2008-4. Para tanto, deverá clicar no link encaminhado, selecionar a opção \"autenticação de formulários\", entrar com o nome de usuário, que é o seu e-mail: rodrigoorv@gmail.com e a senha, que é A005275191. Após fazer o login no Onedrive será necessário colar a seguinte linha no campo de endereço do browser para ter acesso às peças do processo: https://acesso1.tcu.gov.br/pessoal/josecv/Documents/TC-028.501-2008-4 https://acesso1.tcu.gov.br/pessoal/josecv/Documents/TC-028.501-2008-4a A partir daí é só fazer o download das peças. A cópia ficará disponível por cinco dias corridos a partir do envio desta mensagem. Qualquer dúvida, entrar em contato com a Ouvidoria, no telefone (61) 3316-5292/5347. O outro processo que Vossa Senhoria pediu cópia, qual seja, TC-010.905/2001-8, por ser processo físico e não eletrônico, foi desdobrada na demanda 279.409 e será pedida a digitalização e conversão em processo eletrônico, para posterior, geração de cópia e atendimento pela nuvem (escritório virtual) do TCU. Agradecemos o contato. Bsb, 22/11/2016 Att, Ouvidoria do TCU.";;;;;;;;;;;;;;;;;"Ana"
"federal";"tribunal de contas";"tribunal de contas da uniao";"278905";;;;;;"Solicito informações a respeito do ato de pessoal em nome de: Dilma Maria Amorim Rego, CPF: [][][].[][][].[][][]-[][]. Instituidor: Aristeu Leite Rego.";;;"Prezada Senhora [][][][][][], Escrevemos em atenção à demanda nº 278905, enviada por Vossa Senhoria à Ouvidoria do Tribunal de Contas da União (TCU). Informamos que em consulta às bases de dados deste Tribunal não foi localizado nenhum ato de pensão em que Vossa Senhoria (Dilma Maria Amorim Rego, CPF: [][][].[][][].[][][]-[][]) figure como beneficiária. Importa frisar que as consultas, que foram realizadas no Sistema Sisac, contemplam informações no âmbito do Gestor de pessoal (órgão concedente da pensão), Controle Interno e TCU, e que em nenhuma dessas instâncias foi localizado qualquer ato de pensão de seu interesse. Pesquisamos também pelo nome do instituidor da pensão, o Sr. Aristeu Leite Rego, sem encontrar qualquer ato de pensão. Sugerimos, então, que Vossa Senhoria entre em contato com o órgão de origem do instituidor da pensão, já que as pesquisas realizadas indicam que o ato de pensão não foi cadastrado no sistema SISAC (Sistema de Apreciação e Registro dos Atos de Admissões e Concessões), não estando disponível para a análise e julgamento deste Tribunal. Por fim, esclarecemos que a consulta aos atos de pessoal ou o acompanhamento de processos poderão ser realizados a partir da página inicial do TCU (www.tcu.gov.br), na aba \"Processos\" ou na aba \"Atos de Pessoal\". Agradecemos o contato. Atenciosamente, Ouvidoria do TCU";;;;;;;;;;;;;;;;;"Ana"
"federal";"tribunal de contas";"tribunal de contas da uniao";"279712";;;;;;"Solicitação de cópia integral do Processo: 022.375/2012-0, Tipo do processo: APOS ¿ APOSENTADORIA, Assunto do processo: PROCESSO GERADO AUTOMATICAMENTE COM ATOS PRIORIZADOS/SELECIONADOS PELA SEFIP, Estado: ABERTO, Relator atual: MIN-ALC - ANDRÉ LUÍS DE CARVALHO, Unidade responsável técnica: SEFIP, Unidade responsável por agir (Localização): SEFIP, Confidencialidade: Restrito, Unidade jurisdicionada: TRT/MG - Tribunal Regional do Trabalho da 3ª Região/MG, Responsáveis -----";;;"Solange, A resposta da Sefid precisa ser melhor analisada, pois o pedido foi formulado com base na LAI, tendo em vista ter sido feita por pessoa que não é parte no processo e pelo canal de Ouvidoria. Nesse caso, aplica-se a Resolução TCU 249/2012, que em seu § 2º do art. 4º estabelece que os relatores poderão, nos processos de sua competência, autorizar a divulgação anteriormente à prolação do ato decisório (acórdão). Por outro lado, o art. 17 da mesma Resolução estabelece que depende de prévia autorização do Presidente ou do relator a \"negativa de acesso a pedido de informação\". Logo, tem que ser perguntado à Sefid se aquela unidade técnica possui delegação de competência do relator para indeferir pedido de acesso à informação (pedido de cópia de processo). Att Marcelo Aragão Prezada Senhora [][][][][][], Escrevemos em atenção a manifestação 279712 enviada à Ouvidoria do Tribunal de Contas da União - TCU. Na consulta realizada junto à Unidade Responsável, obtivemos a seguinte resposta: \"Responder à interessada que a instrução do TC 022.375/2012-0 ainda não foi finalizada, de modo que não poderá ser concedida vista ou fornecida cópias das peças, nos termos do art. 167 do Regimento Interno do TCU: Não será concedida vista ou fornecida cópia de peças da etapa de instrução antes do seu término, observado o disposto no § 2º do art. 160\". Atenciosamente, Ouvidoria do TCU";;;;;;;;;;;;;;;;;"Ana"
"estadual";"tribunal de contas";"tribunal de contas estadual de roraima";"3014";;;;;;"1. Relação de todas as Prefeituras, contendo nome, período, formação escolar, experiência pública, do responsável pelo controle interno, devidamente elencado na IN 01/2009 – Item 3, Letra “a”, referente as prestações de contas do exercício de 2011, que já se encontram nessa Egrégia Corte de Contas.                               2. Relação de todas as Prefeituras, contendo nome, período, CRC, se contratado ou se funcionário efetivo, referente ao responsável pela elaboração dos demonstrativos contábeis, devidamente elencado na IN 01/2009 – Item 5, Letra, referente às prestações de contas do exercício de 2011, que já se encontram nessa Egrégia Corte de Contas.";;;"Relação dos Responsáveis pelo controle interno enviada para o solicitante.";;"ANEXO 01
ANEXO 02";;;;;;;;;;;;;;;"Ana"
"estadual";"tribunal de contas";"tribunal de contas estadual de roraima";"3015";;;;;;"Certidão de Tramitação dos processos de Prestação de Contas da Prefeitura Municipal de Iracema, dos exercícios de 2009, 2010 e 2011.";;;"Relação dos processos enviados ao solicitante.";;"ANEXO 03";;;;;;;;;;;;;;;"Ana"
"estadual";"tribunal de contas";"tribunal de contas estadual de roraima";"6521";;;;;;"Informação sobre pagamentos feitos as prestadoras de serviço RS e GETEC nos anos de 2010, 2011, 2012 e 2013.";;;"Este Tribunal de Contas não efetuou pagamentos as empresas RS e GETEC nos anos de 2010 a 2013.";;"ANEXO 04";;;;;;;;;;;;;;;"Ana"
"estadual";"tribunal de contas";"tribunal de contas estadual de roraima";"7220";;;;;;"1. Relação dos Servidores Municipais Efetivos de Caracaraí, com respectivos Cargos/Função que estão Afastados, com e sem remuneração;                             2. Relação dos Servidores Municipais Efetivos com respectivos Cargos/Função, que estão a Disposição de Vereadores e demais Autoridades;                                 3. Relação de todos os Servidores Efetivos, com suas respectivas Lotações e Cargos/Função;                                                                                                       4. Relação atualizada de todos os Servidores de Função Gratificada e Cargos Comissionados e Contratados, com as suas respectivas Lotações e Cargos/Função;                                                                                                       5. Relação dos Servidores Federais (Quadro da União) que estão à disposição da Prefeitura Municipal de Caracaraí e, com as suas respectivas lotações e Cargos/Função;                                                                                                       6. Relação de todos os Servidores Efetivos que estão cedidos a outras instituições e municípios, com a suas respectivas Lotações e Cargos/Função.     Observação: Solicitamos uma lista de cada um dos itens acima citado do ano de 2013, para verificar o número de funcionários que foram contratados durante o decorrer do ano passado até agora.";;;"Relação dos servidores enviada ao solicitante.";;"ANEXO 05.01                                                                ANEXO 05.02";;;;;;;;;;;;;;;"Ana"
"estadual";"tribunal de contas";"tribunal de contas estadual de roraima";"1395878400";;;;;;"Nome do órgão que realizou a indicação de cada um dos 7 conselheiros em atuação à respectiva vaga.";;;"Olá boa tarde,

Informo que o pedido acerca das indicações dos conselheiros e se há algum deles afastado já está concluído nesta Ouvidoria e que o mesmo será encaminhado via Correios, pois alguns documentos referentes à posse dos conselheiros não possuímos em formato digital, como é o caso dos membros que tomaram posse nos anos de 1997.

Atenciosamente,

Chefe de Gabinete";;;;;;;;;;;;;;;;;"Ana"
"estadual";"tribunal de contas";"tribunal de contas estadual de roraima";"1413331200";;;;;;"Prezados Senhores, bom dia,                                                                                    Solicitamos os préstimos dessa ouvidoria para nos informar:                                  Qual o valor do teto salarial dos servidores dessa Corte?                                        Qual a Legislação que ampara esse teto salarial (Nº da lei, artigo)?";;;"Em resposta a solicitação requerida, o teto salarial dos Servidores e Membros desta Corte de Contas encontra-se disposto na Constituição do Estado de Roraima, Art. 20-D (Emenda Constitucional nº 016 de 19/10/2005) e Art. 46 parágrafo 4º. Encaminho anexo, Tabela de Vencimentos de Cargos de Provimento Efetivo, Cargos em Comissão, Funções Gratificadas, adaptada do ANEXO D Lei nº 893/13 publicado no DOE nº 1959 de 25/01/2013, com valores de vencimentos reajustados pela Lei nº 971/14 publicada no DOE nº 2279 de 19/05/2014, bem como, Tabela de Subsídios dos Membros do TCE/RR, cujo valores estão reajustados de acordo com a Lei Complementar nº 209, publicada no DOE nº 2007 de 09/04/2013.";;"ANEXO 06";;;;;;;;;;;;;;;"Ana"
"estadual";"tribunal de contas";"tribunal de contas estadual de roraima";"1407888000";;;;;;"Boa tarde,Estamos fazendo um levantamento nacional a respeito dos Tribunais e gostaríamos de obter os seguintes dados do TCE-RR:1º) Número de funcionários na ativa (comissionados e efetivos);2º) Número de funcionários inativos;3º) Número de jurisdicionados fiscalizados;4º) Quantidade de processos (total) em tramitação atualmente no Tribunal.Pela atenção, antecipadamente agradecemos.XXXXXXXXXXXXXXXXXXXXXXXXXXXXXCoordenador da Corregedoria do TCM-GO";;;"Olá , bom dia.

Em resposta ao email enviado solicitando informações a esta Ouvidoria, encaminho documento anexo referente aos itens de numeros 3 e 4. Em relação aos itens 1 e 2, informo que as informações podem ser encontradas no portal - Transparencia, www.tce.rr.leg.br.

Atenciosamente

Assessora da ouvidoria";;"ANEXO 07";;;;;;;;;;;;;;;"Ana"
"estadual";"tribunal de contas";"tribunal de contas estadual de roraima";"1422230400";;;;;;"Sou pesquisadora do Imazon e solicito Relatório Conclusivo de Auditoria Operacional e Ambiental em Unidades de Conservação Estaduais de Roraima";;;"segue anexo informaçao solicitada.
Nosso email: ouvidoria@tce.rr.leg.bv
";;"ANEXO 08";;;;;;;;;;;;;;;"Ana"
"estadual";"tribunal de contas";"tribunal de contas estadual de roraima";"1422230400.2";;;;;;"Bom dia, Gostaria de Solicitar o Relatório de Prestação de contas, parecer prévio, voto e decisão do tribunal relativo as contas prestadas em 2007 pela prefeitura de BOA VISTA. at. XXXXXXXXXXXXXXXXXXXXXXXXXXXXX.";;;"Segue anexo os documentos solicitados.
Atenciosamente.";;"ANEXO 09                                                                     ANEXO 10";;;;;;;;;;;;;;;"Ana"
